Time,x_d,y_d,theta_d,v_,delta_
8.9074229,2.3921725,-2.0219968,-1.9178264,0.4510998,-0.130581
8.9574646,2.3844291,-2.0430849,-1.9275386,0.4542759,-0.1273876
9.0075063,2.3764238,-2.0642543,-1.9370807,0.4574826,-0.124257
9.057548,2.3681575,-2.0855043,-1.9464548,0.4607184,-0.1211895
9.1075897,2.359631,-2.1068343,-1.9556628,0.4639816,-0.1181855
9.1576314,2.3508454,-2.1282438,-1.9647068,0.4672706,-0.1152451
9.2076731,2.3418015,-2.1497321,-1.9735889,0.4705839,-0.1123682
9.2577148,2.3325004,-2.1712987,-1.9823113,0.4739197,-0.1095547
9.3077565,2.3229431,-2.192943,-1.9908762,0.4772766,-0.1068043
9.3577982,2.3131306,-2.2146644,-1.9992857,0.480653,-0.1041166
9.4078399,2.303064,-2.2364623,-2.007542,0.4840473,-0.1014909
9.4578816,2.2927445,-2.258336,-2.0156474,0.4874582,-0.0989268
9.5079233,2.2821731,-2.2802851,-2.0236042,0.490884,-0.0964236
9.557965,2.271351,-2.3023088,-2.0314145,0.4943233,-0.0939803
9.6080067,2.2602795,-2.3244066,-2.0390806,0.4977746,-0.0915963
9.6580484,2.2489596,-2.3465779,-2.0466047,0.5012366,-0.0892706
9.7080901,2.2373927,-2.3688221,-2.0539892,0.5047077,-0.0870022
9.7581318,2.2255801,-2.3911385,-2.0612361,0.5081867,-0.0847903
9.8081735,2.213523,-2.4135265,-2.0683478,0.5116722,-0.0826336
9.8582152,2.2012227,-2.4359856,-2.0753263,0.5151628,-0.0805313
9.9082569,2.1886807,-2.4585151,-2.082174,0.5186572,-0.0784821
9.9582986,2.1758982,-2.4811144,-2.0888928,0.5221542,-0.0764851
10.0083403,2.1628767,-2.5037829,-2.0954851,0.5256524,-0.074539
10.058382,2.1496177,-2.5265199,-2.1019529,0.5291506,-0.0726428
10.1084237,2.1361225,-2.5493248,-2.1082982,0.5326476,-0.0707954
10.1584654,2.1223927,-2.572197,-2.1145232,0.5361422,-0.0689955
10.2085071,2.1084297,-2.5951359,-2.1206298,0.5396331,-0.0672421
10.2585488,2.0942352,-2.6181409,-2.1266202,0.5431193,-0.0655341
10.3085905,2.0798106,-2.6412112,-2.1324962,0.5465996,-0.0638702
10.3586322,2.0651576,-2.6643463,-2.1382598,0.5500728,-0.0622495
10.4086739,2.0502777,-2.6875456,-2.1439129,0.553538,-0.0606708
10.4587156,2.0351726,-2.7108084,-2.1494574,0.5569939,-0.0591329
10.5087573,2.0198439,-2.734134,-2.1548951,0.5604396,-0.0576349
10.558799,2.0042934,-2.7575219,-2.1602279,0.5638741,-0.0561757
10.6088407,1.9885227,-2.7809713,-2.1654576,0.5672962,-0.0547541
10.6588824,1.9725336,-2.8044817,-2.1705859,0.570705,-0.0533692
10.7089241,1.9563278,-2.8280523,-2.1756145,0.5740995,-0.05202
10.7589658,1.9399071,-2.8516826,-2.1805452,0.5774788,-0.0507055
10.8090075,1.9232734,-2.8753719,-2.1853795,0.5808419,-0.0494246
10.8590492,1.9064284,-2.8991196,-2.1901191,0.5841879,-0.0481765
10.9090909,1.8893739,-2.9229249,-2.1947656,0.587516,-0.0469602
10.9591326,1.872112,-2.9467873,-2.1993205,0.5908251,-0.0457747
11.0091743,1.8546444,-2.9707061,-2.2037854,0.5941144,-0.0446193
11.059216,1.836973,-2.9946806,-2.2081618,0.5973831,-0.043493
11.1092577,1.8190999,-3.0187101,-2.212451,0.6006304,-0.0423949
11.1592994,1.801027,-3.0427941,-2.2166547,0.6038554,-0.0413242
11.2093411,1.7827562,-3.0669318,-2.220774,0.6070573,-0.0402802
11.2593828,1.7642896,-3.0911226,-2.2248105,0.6102353,-0.039262
11.3094245,1.7456293,-3.1153658,-2.2287654,0.6133887,-0.0382688
11.3594662,1.7267771,-3.1396608,-2.2326401,0.6165166,-0.0373
11.4095079,1.7077353,-3.1640069,-2.2364358,0.6196184,-0.0363547
11.4595496,1.6885059,-3.1884034,-2.2401538,0.6226933,-0.0354322
11.5095913,1.6690911,-3.2128496,-2.2437953,0.6257406,-0.0345319
11.559633,1.6494929,-3.2373449,-2.2473614,0.6287595,-0.0336531
11.6096747,1.6297135,-3.2618886,-2.2508534,0.6317495,-0.0327951
11.6597164,1.6097551,-3.2864801,-2.2542724,0.6347098,-0.0319573
11.7097581,1.5896198,-3.3111186,-2.2576195,0.6376397,-0.0311391
11.7597998,1.56931,-3.3358034,-2.2608957,0.6405387,-0.0303398
11.8098415,1.5488278,-3.360534,-2.2641022,0.643406,-0.0295589
